['980', '496', '432', '217', '924']
['423', '994', '39', '84', '686']
['308', '843', '212', '111', '608']
['952', '745', '560', '294', '293']
['190', '163', '583', '850', '527']
['169', '996', '183', '110', '526']
['550', '634', '201', '228', '680']
['70', '968', '595', '291', '803']
['504', '712', '516', '717', '391']
['549', '386', '690', '27', '975']
['825', '366', '940', '382', '170']
['674', '367', '797', '699', '871']
['890', '493', '960', '759', '443']
['624', '21', '837', '773', '696']
['34', '524', '231', '234', '710']
['616', '895', '424', '80', '126']
['874', '884', '123', '519', '414']
['802', '656', '707', '404', '301']
['888', '505', '71', '204', '285']
['248', '729', '226', '769', '116']
['133', '581', '774', '544', '157']
['572', '950', '816', '117', '38']
['584', '591', '740', '270', '184']
['167', '254', '426', '900', '781']
['926', '272', '506', '834', '104']
['820', '61', '746', '469', '185']
['374', '791', '507', '604', '768']
['750', '647', '927', '490', '162']
['461', '955', '323', '539', '89']
['644', '392', '513', '605', '72']
['742', '582', '324', '433', '400']
['286', '877', '882', '95', '567']
['207', '9', '867', '448', '304']
['76', '200', '146', '652', '415']
['195', '714', '251', '921', '695']
['941', '52', '749', '585', '446']
['192', '920', '327', '371', '17']
['838', '764', '594', '991', '94']
['667', '305', '563', '418', '915']
['817', '460', '168', '263', '683']
['26', '405', '999', '727', '738']
['807', '875', '385', '276', '264']
['5', '930', '925', '936', '472']
['627', '56', '518', '492', '483']
['953', '57', '459', '60', '24']
['31', '476', '259', '471', '428']
['709', '453', '643', '412', '818']
['515', '962', '706', '67', '799']
['552', '951', '922', '144', '253']
['958', '150', '134', '394', '724']
['889', '592', '621', '63', '929']
['760', '547', '13', '626', '455']
['296', '610', '278', '753', '58']
['108', '893', '830', '420', '663']
['855', '46', '731', '153', '449']
['345', '229', '247', '566', '863']
['778', '406', '437', '543', '806']
['36', '353', '464', '28', '174']
['325', '813', '347', '62', '173']
['172', '411', '440', '237', '842']
['240', '917', '77', '832', '239']
['508', '965', '154', '603', '230']
