['37', '102', '586', '808', '84', '417', '677']
['955', '132', '86', '669', '928', '784', '385']
['356', '873', '418', '540', '476', '139', '556']
['64', '269', '427', '768', '33', '485', '847']
['666', '467', '792', '457', '290', '888', '899']
['236', '698', '326', '664', '600', '618', '738']
['880', '918', '844', '771', '41', '367', '393']
['371', '527', '483', '878', '190', '19', '11']
['743', '807', '223', '321', '700', '566', '179']
['764', '517', '298', '335', '770', '65', '137']
['903', '839', '694', '217', '338', '806', '634']
['293', '879', '66', '775', '851', '922', '7']
['953', '968', '709', '497', '719', '630', '362']
['288', '815', '623', '646', '861', '575', '365']
['721', '832', '863', '780', '502', '525', '430']
['565', '124', '260', '970', '413', '543', '644']
['869', '469', '401', '438', '584', '281', '110']
['926', '313', '853', '348', '351', '87', '907']
['927', '570', '181', '10', '891', '364', '73']
['50', '717', '640', '75', '77', '956', '366']
['159', '544', '484', '43', '519', '229', '382']
['727', '712', '672', '704', '609', '208', '822']
['360', '134', '450', '587', '435', '684', '212']
['220', '638', '305', '759', '162', '9', '567']
['377', '510', '514', '155', '471', '130', '536']
['58', '707', '831', '750', '120', '572', '129']
['810', '747', '266', '752', '224', '374', '547']
['252', '56', '83', '166', '267', '89', '793']
['188', '245', '783', '376', '870', '656', '72']
['216', '282', '337', '799', '937', '168', '397']
['346', '828', '501', '304', '136', '422', '816']
['15', '513', '820', '206', '201', '778', '185']
['934', '468', '210', '748', '829', '192', '619']
['762', '636', '929', '488', '865', '898', '368']
['554', '943', '877', '889', '908', '944', '936']
['665', '199', '737', '276', '686', '705', '635']
['443', '715', '258', '787', '195', '758', '534']
['693', '857', '599', '959', '958', '378', '439']
['207', '372', '478', '196', '369', '774', '344']
['174', '211', '862', '925', '148', '240', '948']
['809', '912', '16', '249', '651', '893', '486']
['961', '419', '310', '39', '826', '2', '415']
['416', '966', '827', '788', '342', '842', '617']
['81', '242', '169', '670', '772', '453', '920']
['171', '590', '147', '761', '379', '597', '34']
['740', '560', '404', '685', '80', '588', '629']
['200', '850', '46', '316', '23', '465', '261']
['724', '226', '324', '647', '13', '794', '396']
['386', '164', '642', '739', '27', '963', '262']
['57', '512', '391', '950', '32', '452', '79']
['287', '429', '650', '420', '906', '621', '911']
['830', '858', '99', '579', '187']
['74']
['589']
['546']
['189']
['763', '90', '660', '69', '160', '163']
['500', '868', '91', '36', '93', '539', '459']
['250', '62', '661', '47', '257', '613']
