['805', '568', '849', '23', '419', '876', '938', '195', '412', '528', '937', '428', '520', '173', '237', '686', '955', '156', '211', '259']
['525', '144', '705', '597', '939', '654', '472', '576', '186', '831', '64', '628', '508', '875', '13', '899', '859', '512', '56', '474']
['78', '43', '460', '48', '67', '81', '414', '326', '945', '390', '614', '947', '587', '289', '51', '666', '916', '757', '305', '557']
['229', '553', '101', '257', '672', '456', '421', '820', '932', '716', '402', '308', '996', '663', '437', '795', '353', '683', '855', '493']
['91', '616', '887', '819', '97', '432', '771', '986', '328', '182', '625', '233', '718', '370', '415', '766', '662', '698', '709', '136']
['230', '653', '374', '979', '388', '338', '89', '34', '623', '178', '679', '594', '482', '575', '556', '573', '258', '695', '6', '965']
['865', '559', '678', '558', '741', '409', '884', '360', '22', '162', '574', '775', '318', '783', '85', '689', '931', '967', '944', '737']
['762', '624', '88', '551', '661', '562', '2', '813', '165', '806', '92', '157', '660', '807', '279', '617', '46', '206', '117', '278']
['531', '851', '529', '222', '126', '729', '313', '169', '380', '105', '500', '674', '657', '615', '826', '505', '217', '112', '325', '748']
['291', '515', '135', '245', '523', '296', '364', '779', '261', '277', '629', '682', '179', '635', '440', '33', '926', '166', '778', '367']
['35', '656', '17', '383', '58', '904', '498', '66', '890', '103', '934', '60', '332', '312', '264', '435', '183', '956', '335', '167']
