['260', '843', '150', '459', '370', '154', '286', '685', '187', '827', '777', '481', '139', '944', '720', '167', '225', '16', '868', '639', '883', '15', '965', '44', '517']
['801', '452', '180', '475', '566', '621', '991', '498', '543', '856', '927', '577', '266', '144', '59', '667', '700', '885', '387', '172', '328', '257', '466', '254', '712']
['568', '366', '445', '309', '339', '419', '482', '853', '730', '84', '542', '917', '829', '149', '549', '101', '935', '572', '884', '512', '623', '947', '855', '733', '422']
['405', '552', '251', '758', '197', '550', '65', '683', '315', '945', '590', '633', '112', '431', '367', '116', '861', '480', '404', '21', '217', '521', '206', '447', '389']
['164', '74', '704', '888', '327', '726', '831', '778', '221', '188', '125', '306', '184', '25', '519', '290', '772', '240', '508', '79', '816', '408', '383', '818', '502']
['940', '312', '527', '800', '879', '185', '986', '653', '48', '993', '36', '585', '932', '157', '492', '737', '9', '819', '92', '824', '588', '93', '530', '129', '411']
['11', '140', '219', '443', '795', '989', '210', '46', '136', '111', '259', '627', '263', '261', '241', '304', '760', '581', '32', '982', '458', '802', '37', '192', '461']
['437', '358', '436', '847', '995', '673', '29', '62', '592', '120', '669', '783', '105', '804', '33', '752', '601', '679', '503', '988', '213', '1', '914', '973', '871']
['506', '820', '50', '770', '729', '697', '4', '333', '216', '875', '427', '782', '858', '14', '349', '435', '41', '834', '67', '361', '318', '295', '584', '54', '467']
['905', '723', '391', '375', '647', '229', '69', '942', '236', '156', '455', '20', '75', '63', '281', '926', '670', '246', '920', '753', '324', '597', '274', '72', '567']
['692', '951', '866', '637', '900', '908', '174', '204', '561', '837', '127', '176', '500', '548', '338', '634', '840', '253', '70', '284', '465', '380', '877', '985', '401']
['594', '356', '536', '278', '341', '638', '523', '283', '326', '499', '362', '742', '886', '711', '464', '505', '397', '86', '789', '5', '329', '446', '959', '696', '731']
['821', '642', '739', '386', '385', '234', '360', '786', '118', '658', '399', '24', '413', '359', '291', '750', '587', '40', '238', '364', '227', '272', '716', '198', '171']
['857', '474', '392', '335', '614', '785', '430', '511', '141', '152', '487', '403', '880', '876', '846', '956', '933', '215', '528', '776', '434', '546', '745', '526', '42']
['533', '671', '179', '220', '766', '320', '771', '950', '319', '936', '767', '119', '902', '555', '749', '925', '110', '207', '384', '757', '124', '934', '448', '564', '181']
['121', '832', '721', '325', '825', '6', '440', '551', '719', '603', '212', '19', '652', '735', '612', '695', '893', '862', '224', '999', '624', '262', '31', '218', '602']
['457', '763', '343', '71', '160', '242', '632', '645', '478', '476', '378', '661', '267', '641', '122', '469', '734', '918', '424', '23', '799', '165', '414', '629', '811']
['788', '859', '682', '872', '665', '200', '10', '271', '245', '814', '865', '833', '960', '809', '28', '409', '303', '916', '907', '211', '708', '126', '190', '407', '308']
['664', '98', '754', '313', '348', '417', '496', '368', '654', '596', '147', '912', '438', '347', '810', '822', '850', '239', '808', '728', '299', '974', '806', '123', '285']
['576', '970', '252', '570', '433', '143', '589', '775', '706', '894', '882', '416', '582', '791', '531', '269', '27', '725', '688', '578', '80', '277', '155', '490', '968']
['869', '394', '353', '26', '556', '279', '963', '473', '558', '371', '432', '937', '395', '287', '302', '631', '535', '292', '563', '100', '316', '736', '870', '931', '307']
['980', '102', '415', '377', '151', '340', '702', '828', '393', '117', '889', '342', '648', '314', '402', '382', '606', '449', '979', '51', '131', '897', '939', '95', '890']
