['247', '226', '389', '467', '981', '815', '973', '431', '691', '255', '331', '359', '942', '735', '732', '607', '281', '112', '29', '774']
['401', '512', '333', '256', '70', '65', '187', '129', '979', '872', '194', '81', '473', '700', '882', '690', '61', '579', '869', '511']
['168', '47', '573', '723', '609', '636', '362', '854', '379', '998', '131', '31', '478', '116', '801', '348', '812', '223', '211', '873']
['345', '707', '262', '454', '534', '320', '881', '418', '405', '43', '200', '848', '86', '10', '530', '635', '853', '455', '329', '705']
['167', '383', '46', '225', '803', '219', '366', '513', '539', '36', '432', '483', '644', '996', '747', '283', '587', '8', '111', '953']
['693', '419', '144', '683', '429', '675', '876', '664', '456', '581', '916', '14', '870', '826', '960', '977', '313', '781', '904', '370']
['212', '327', '593', '395', '207', '244', '967', '447', '441', '986', '163', '845', '272', '203', '364', '549', '611', '90', '947', '365']
['527', '517', '621', '945', '844', '470', '736', '357', '381', '356', '663', '756', '474', '787', '150', '661', '477', '941', '692', '740']
['545', '330', '300', '662', '126', '80', '890', '101', '195', '505', '566', '184', '279', '946', '887', '997', '152', '605', '421', '509']
['633', '834', '793', '604', '506', '119', '328', '252', '476', '811', '422', '706', '360', '499', '439', '58', '20', '825', '642', '784']
['543', '66', '453', '120', '829', '197', '125', '616', '653', '37', '12', '883', '408', '135', '702', '995', '222', '823', '294', '989']
['264', '818', '118', '797', '285', '676', '250', '817', '172', '510', '440', '620', '525', '922', '886', '765', '708', '970', '412', '639']
['838', '682', '76', '480', '659', '656', '677', '585', '13', '792', '555', '373', '602', '390', '536', '754', '578', '341', '894', '106']
['650', '5', '451', '303', '430', '502', '284', '34', '481', '906', '703', '658', '355', '304', '44', '699', '457', '880', '19', '273']
['779', '830', '344', '241', '821', '597', '594', '15', '992', '233', '68', '63', '269', '930', '744', '387', '746', '192', '495', '591']
['415', '802', '900', '598', '808', '88', '550', '957', '406', '622', '608', '559', '921', '892', '221', '586', '805', '613', '361', '334']
