['902', '336', '505']
['851', '399', '621']
['0', '452', '837']
['617', '964', '761']
['692', '770', '166']
['987', '643', '587']
['788', '141', '9']
['27', '624', '129']
['90', '72', '782']
['1', '149', '322']
['323', '741', '934']
['824', '960', '728']
['209', '196', '819']
['366', '311', '134']
['287', '795', '193']
['362', '174', '705']
['579', '808', '125']
['431', '991', '690']
['686', '123', '758']
['736', '426', '529']
['853', '142', '127']
['607', '930', '32']
['756', '194', '914']
['546', '272', '298']
['724', '779', '344']
['252', '112', '471']
['950', '416', '750']
['234', '896', '436']
['926', '378', '732']
['794', '704', '424']
['503', '65', '975']
['754', '966', '560']
['953', '208', '400']
['592', '573', '316']
['286', '58', '280']
['148', '267', '504']
['731', '608', '282']
['596', '89', '652']
['620', '634', '39']
['720', '318', '790']
['396', '103', '590']
['845', '799', '780']
['677', '140', '772']
['664', '609', '50']
['73', '84', '633']
['392', '356', '380']
['844', '153', '461']
['977', '152', '687']
['28', '618', '105']
['82', '931', '971']
['177', '215', '62']
['342', '602', '784']
['26', '535', '417']
['301', '688', '56']
['114', '443', '507']
['878', '842', '957']
['701', '492', '198']
['717', '24', '974']
['108', '406', '314']
['95', '12', '908']
['242', '552', '351']
['730', '521', '498']
['78', '167', '910']
['762', '655', '475']
['264', '481', '854']
['947', '729', '578']
['402', '374', '359']
['487', '469', '425']
['200', '350', '918']
['841', '936', '911']
['263', '575', '232']
['119', '226', '935']
['262', '684', '184']
['603', '900', '809']
['565', '63', '873']
['495', '982', '691']
['37', '702', '132']
['832', '203', '992']
['483', '980', '377']
['277', '357', '473']
['411', '710', '807']
['156', '274', '662']
['949', '978', '363']
['145', '889', '88']
['733', '920', '259']
['669', '17', '310']
['312', '154', '856']
['278', '460', '385']
['711', '382', '763']
['77', '703', '433']
['327', '723', '658']
['867', '188', '973']
['135', '45', '206']
['38', '146', '388']
['49', '161', '202']
['797', '697', '52']
['8', '755', '476']
['490', '875', '87']
['98', '536', '410']
['435', '564', '861']
['963', '778', '937']
['339', '632', '597']
['872', '42', '892']
['155', '517', '317']
['261', '641', '414']
['948', '94', '466']
['489', '858', '244']
['165', '429', '857']
['303', '583', '816']
['786', '553', '326']
['86', '64', '983']
['719', '865', '470']
['506', '183', '180']
['446', '474', '541']
['418', '774', '744']
['547', '751', '527']
['421', '932', '405']
['639', '43', '191']
['840', '923', '612']
['558', '25', '765']
['364', '653', '29']
['10', '570', '591']
['467', '61', '828']
['887', '595', '586']
['371', '212', '572']
['631', '874', '292']
['447', '434', '181']
['510', '478', '137']
['622', '659', '897']
['718', '781', '709']
['817', '464', '11']
['674', '228', '862']
['638', '822', '715']
['956', '520', '580']
['284', '895', '334']
['370', '96', '449']
['160', '771', '540']
['656', '345', '610']
['197', '952', '296']
['508', '485', '903']
['126', '625', '881']
['678', '199', '726']
['46', '221', '725']
['836', '555', '486']
['315', '589', '457']
['423', '459', '661']
['766', '917', '456']
['619', '354', '967']
['237', '47', '972']
['775', '907', '593']
['532', '696', '533']
['319', '74', '60']
['635', '122', '909']
['16', '35', '210']
['412', '51', '812']
['722', '769', '211']
['299', '649', '116']
['753', '526', '672']
['398', '332', '387']
['614', '113', '800']
['981', '965', '882']
['916', '76', '307']
['716', '879', '367']
['883', '986', '500']
['295', '513', '393']
['954', '604', '660']
['422', '91', '275']
['815', '877', '430']
['571', '164', '906']
['451', '979', '519']
['373', '663', '699']
['976', '204', '93']
['951', '250', '801']
['871', '420', '721']
['266', '818', '419']
['945', '13', '219']
['727', '18', '941']
['352', '901', '162']
['820', '673']
['847', '428']
['407', '679', '894']
