['BEIFF', 'KUMCW', 'RQZPM', 'TFWCC', 'NKCOJ']
['CVNCZ', 'EAEIR', 'YWPLR', 'VFFHE', 'RMUXW']
['WOIJX', 'SGRXP', 'QPVND', 'FCJLJ', 'CUUFQ']
['CHIJG', 'EAITX', 'VIPLF', 'QECFT', 'NWAHL']
['IZMEQ', 'UHOTV', 'JXGHX', 'TAIVA', 'IGAXC']
['AILUZ', 'QYWKX', 'DSQUZ', 'GOXXP', 'FZBVB']
['KCHSD', 'AGDTK', 'TKYGG', 'BJTHH', 'JMYIA']
['UQKOV', 'LSZMU', 'OVYDG', 'DFBMK', 'OXRUQ']
['GUDYJ', 'ZBJTS', 'ZJPJO', 'TEFPC', 'NHQWU']
['KPECP', 'BLHOQ', 'OMYLR', 'FSTKF', 'XNYRJ']
['JAFZN', 'CKHRK', 'WSVIR', 'IBUGB', 'CIPCP']
['WTGUO', 'GLIPE', 'WHRVK', 'SKBJW', 'CFMPM']
['CIOFH', 'GEQFC', 'QQUYY', 'PVVAV', 'SGTRH']
['ERTVL', 'TAHXC', 'OLFRP', 'JOZYK', 'NSDMC']
['JCOPI', 'CPJBS', 'PLFWC', 'PGHQU', 'BVCTY']
['TKJBK', 'KRWXO', 'LVBGW', 'VQAKV', 'GCQTP']
['HCVBR', 'SVMGK', 'DVRRV', 'FBWOW', 'QAOAR']
['RWZXF', 'ENKVR', 'OSLVS', 'IGUWL', 'KYKCO']
['MWVBQ', 'WLCAR', 'EHHWX', 'APXMD', 'ZEPYJ']
['PKBGA', 'NVSYK', 'OKPQW', 'EADHZ', 'BNYBV']
['IRAUO', 'CPTCX', 'RURLC', 'OCOQX', 'MXBHP']
['GVYUW', 'WGGGP', 'AICHQ', 'PXCKJ', 'FDGQA']
['QGGOH', 'QIALM', 'FELNZ', 'QCRLR', 'DSUJE']
['HNXEZ', 'FEUEQ', 'RFWKF', 'RJIED', 'ECNTU']
['NLRBO', 'GJRAV', 'VGUGP', 'VQDCT', 'PQAHJ']
['NSAJQ', 'RUYNY', 'THQAC', 'ACJRU', 'ABYHN']
['JHGWB', 'BPLLS', 'EHMWV', 'WDGCR', 'IAMKK']
['TVCFA', 'UDTFQ', 'XGNPD', 'EOCJX', 'QGXZJ']
['EBLCO', 'MQDQQ', 'PSVNQ', 'WPGRW', 'OTQON']
['YQPNL', 'VVCGQ', 'ALMIE', 'MTCGB', 'TNZEA']
['TTIDN', 'QVNNO', 'NUSHB', 'SEYUH', 'UHSWZ']
['LBKGE', 'PECLI', 'JEBNF', 'FGDHQ', 'LIQGP']
['XEEVL', 'AWDBE', 'SGXHX', 'ZHVLK', 'UCQZE']
['CSQHY', 'ZNMAJ', 'DFVZW', 'DBIOJ', 'NCDJQ']
['BPZOY', 'DUAEB', 'FXUHH', 'XBSXA', 'OQSOU']
['ALXRH', 'IVZGD', 'UZKCN', 'QUECI', 'SFQST']
['KSCIB', 'VATRQ', 'YJPCO', 'CIILB', 'GNCHO']
['EYFRR', 'VGCRP', 'IKHTD', 'MYAVD', 'GAEKQ']
['QSVBC', 'HWSJL', 'CCNPM', 'VWJWK', 'MXMMA']
['ETYTK', 'OAGEZ', 'FZRBE', 'XXFSV', 'SPHAJ']
['OJGET', 'LPHWP', 'ZQDIP', 'FVYLB', 'JQBSO']
